,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1,Coffee Shop,Park,Pub,Bakery,Café,Breakfast Spot,Theater,Spa,Ice Cream Shop,Beer Store
1,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,1,Coffee Shop,Yoga Studio,Arts & Crafts Store,Restaurant,Italian Restaurant,Distribution Center,Burrito Place,Beer Bar,Smoothie Shop,Diner
2,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1,Clothing Store,Coffee Shop,Restaurant,Italian Restaurant,Bubble Tea Shop,Cosmetics Shop,Middle Eastern Restaurant,Café,Japanese Restaurant,Fast Food Restaurant
3,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1,Coffee Shop,Café,Cocktail Bar,American Restaurant,Gastropub,Beer Bar,Seafood Restaurant,Clothing Store,Gym,Cosmetics Shop
4,East Toronto,The Beaches,43.67635739999999,-79.2930312,0,Health Food Store,Pub,Trail,Women's Store,Deli / Bodega,Department Store,Dessert Shop,Diner,Discount Store,Distribution Center
5,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,1,Coffee Shop,Cocktail Bar,Bakery,Beer Bar,Seafood Restaurant,Cheese Shop,Café,Restaurant,Gourmet Shop,Pub
6,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Japanese Restaurant,Burger Joint,Ice Cream Shop,Salad Place,Thai Restaurant,Bubble Tea Shop
7,Downtown Toronto,Christie,43.669542,-79.4225637,1,Grocery Store,Café,Park,Baby Store,Restaurant,Candy Store,Diner,Italian Restaurant,Athletics & Sports,Nightclub
8,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,1,Coffee Shop,Café,Restaurant,Gym,Hotel,Deli / Bodega,Clothing Store,Thai Restaurant,Concert Hall,Sushi Restaurant
9,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,1,Bakery,Pharmacy,Coffee Shop,Pool,Brewery,Bar,Bank,Café,Supermarket,Middle Eastern Restaurant
10,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999997,1,Coffee Shop,Aquarium,Hotel,Café,Sporting Goods Shop,Italian Restaurant,Scenic Lookout,Brewery,Restaurant,Fried Chicken Joint
11,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1,Bar,Asian Restaurant,Restaurant,Men's Store,Vegetarian / Vegan Restaurant,Coffee Shop,Café,Beer Store,Cupcake Shop,Pizza Place
12,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1,Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Restaurant,Ice Cream Shop,Cosmetics Shop,Brewery,Bubble Tea Shop,Café
13,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1,Coffee Shop,Hotel,Café,Salad Place,Restaurant,Seafood Restaurant,Japanese Restaurant,Italian Restaurant,American Restaurant,Beer Bar
